id,truckstop_id,truckstop_name,address,city,state,rack_id,retail_price,latitude,longitude
1702,52622,STRIPES 7FLEET #42567,I-20,Stanton,TX,700,3.016,32.1410781,-101.780247
1703,52623,TA WILLINGTON TRAVEL CENTER,"I-84, EXIT 71",Willington,CT,100,5.199,41.8757947,-72.2642761
1704,52624,PILOT TRAVEL CENTERS #390,"I-84, EXIT 188 & US-395",Stanfield,OR,982,3.469,45.7804098,-119.217235
1706,52626,FLYING J TRAVEL PLAZA #627,"I-95/SR-405, EXIT 29 & US-82/US-17/SR-25/SR-520",Brunswick,GA,75,3.396,31.1499528,-81.4914894
1707,52628,One9 Pride #1215,"I-10, EXIT 45",Salome,AZ,930,3.379,33.7811491,-113.6147146
1709,52629,LOVES TRAVEL STOPS #413,"I-90, EXIT 106 & US-97",Ellensburg,WA,977,3.889,46.9970635,-120.545122
1713,52630,PILOT TRAVEL CENTERS #386,"I-5, EXIT 263",Salem,OR,935,3.859,44.917382,-123.031352
1714,52632,LOVES TRAVEL STOP #451,"I-65, EXIT 95 & CR-500",Whiteland,IN,375,3.949,39.5500485,-86.0797079
1715,52633,PILOT TRAVEL CENTERS #57,"I-40 & I-85, EXIT 152",Mebane,NC,65,3.959,36.0959715,-79.2669619
1716,52634,PETRO STOPPING CENTER #362,"I-80, EXIT 353",York,NE,330,3.299,40.8214,-97.59755
1717,52635,E EXPRESS at MLK,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,2.889,35.4729886,-97.5170536
1718,52636,LOVES TRAVEL STOP #414,"I-64, EXIT 25B & US-41",Haubstadt,IN,340,3.949,38.2050442,-87.5741876
1719,52638,STRIPES 7FLEET #42555,"I-20, EXIT 80 & SR-18",Monahans,TX,710,2.929,31.5890519,-102.8861902
1720,52640,SPEEDWAY #8316,US-30 & US-41,Dyer,IN,290,3.649,41.494808,-87.47228
1721,52641,PILOT TRAVEL CENTERS #71,"I-95, EXIT 109",Port Wentworth,GA,195,3.372,32.191622,-81.20065
1723,52642,One9 #61,"I-26, EXIT 52 & SR-56",Clinton,SC,30,3.099,34.4726277,-81.8806562
1724,52643,Minit Mart #3,HIGHWAY 277 & FM 1589,Eagle Pass,TX,693,3.199,28.709211,-100.4992936
1726,52646,FLYING J TRAVEL PLAZA #619,"I-70, EXIT 285",Aurora,CO,800,3.392,39.666015,-104.867305
1727,52647,FLYING J TRAVEL PLAZA #699,"I-70, EXIT 122",Millersport,OH,315,3.446,39.9000639,-82.534048
1728,52648,Stripes #42566,US-67 & SR-158,Ballinger,TX,612,3.056,31.7411047,-99.9530698
1729,52649,FLYING J TRAVEL PLAZA #623,"I-10, EXIT 192 & US-90",Midway,FL,20,3.799,32.7667059,-117.2256983
